,결제수단,배송번호,배송시작일,배송완료일,상품구매금액,상품번호,수량,주문경로,주문일,연도,월,요일,주차,주중/주말,배송시작일(date),배송완료일(date),배송기간,배송기간(int)
31429,카드,D-20180905-0000144-01,2018-09-05 오후 6:08,2018-09-14 오전 6:52,15890,1271.0,1,네이버 페이,2018-09-05,2018,9,Wednesday,36,주중,2018-09-05,2018-09-14,9 days,9
31430,카드,D-20180905-0000144-02,2018-09-05 오후 6:08,2018-09-14 오전 6:52,15890,1267.0,1,네이버 페이,2018-09-05,2018,9,Wednesday,36,주중,2018-09-05,2018-09-14,9 days,9
31431,카드,D-20180905-0000144-03,2018-09-05 오후 6:08,2018-10-01 오후 5:16,133400,1219.0,1,네이버 페이,2018-09-05,2018,9,Wednesday,36,주중,2018-09-05,2018-10-01,26 days,26
31552,카드,D-20180906-0000079-01,2018-09-07 오후 1:50,2018-09-15 오전 3:52,30840,215.0,1,네이버 페이,2018-09-06,2018,9,Thursday,36,주중,2018-09-07,2018-09-15,8 days,8
31586,카드,D-20180906-0000226-01,2018-09-07 오후 1:50,2018-09-14 오후 11:46,601000,388.0,10,네이버 페이,2018-09-06,2018,9,Thursday,36,주중,2018-09-07,2018-09-14,7 days,7
31753,카드,D-20180908-0000024-01,2018-09-11 오전 9:54,2018-09-18 오후 8:52,119020,88.0,1,네이버 페이,2018-09-08,2018,9,Saturday,36,주말,2018-09-11,2018-09-18,7 days,7
31798,카드,D-20180909-0000209-01,2018-09-11 오전 9:54,2018-09-19 오전 6:33,92070,1231.0,1,네이버 페이,2018-09-09,2018,9,Sunday,36,주말,2018-09-11,2018-09-19,8 days,8
31862,카드,D-20180910-0000326-01,2018-09-11 오전 9:54,2018-09-19 오전 8:08,103620,51.0,1,네이버 페이,2018-09-10,2018,9,Monday,37,주중,2018-09-11,2018-09-19,8 days,8
31940,무통장입금,D-20180910-0000875-01,2018-09-12 오후 6:32,2018-09-20 오전 6:30,58410,455.0,1,네이버 페이,2018-09-10,2018,9,Monday,37,주중,2018-09-12,2018-09-20,8 days,8
31977,카드,D-20180911-0000051-02,2018-09-12 오후 6:32,2018-09-21 오전 3:12,207240,1169.0,2,네이버 페이,2018-09-11,2018,9,Tuesday,37,주중,2018-09-12,2018-09-21,9 days,9
31978,카드,D-20180911-0000051-03,2018-09-12 오후 6:32,2018-09-21 오전 3:12,97020,1170.0,1,네이버 페이,2018-09-11,2018,9,Tuesday,37,주중,2018-09-12,2018-09-21,9 days,9
32040,카드,D-20180911-0000342-01,2018-09-12 오후 6:32,2018-09-21 오전 4:14,66500,47.0,1,네이버 페이,2018-09-11,2018,9,Tuesday,37,주중,2018-09-12,2018-09-21,9 days,9
32042,카드,D-20180911-0000366-01,2018-09-12 오후 6:32,2018-09-21 오전 4:21,75570,437.0,1,네이버 페이,2018-09-11,2018,9,Tuesday,37,주중,2018-09-12,2018-09-21,9 days,9
32067,카드,D-20180912-0000014-01,2018-09-13 오후 3:58,2018-09-21 오전 6:21,56760,172.0,1,네이버 페이,2018-09-12,2018,9,Wednesday,37,주중,2018-09-13,2018-09-21,8 days,8
32068,카드,D-20180912-0000029-01,2018-09-12 오후 6:32,2018-09-21 오전 6:21,78870,603.0,1,네이버 페이,2018-09-12,2018,9,Wednesday,37,주중,2018-09-12,2018-09-21,9 days,9
32077,카드,D-20180912-0000089-01,2018-09-13 오후 3:58,2018-09-22 오전 4:06,86790,449.0,1,네이버 페이,2018-09-12,2018,9,Wednesday,37,주중,2018-09-13,2018-09-22,9 days,9
32155,카드,D-20180912-0000597-01,2018-09-14 오전 10:50,2018-09-22 오전 4:12,30180,631.0,1,네이버 페이,2018-09-12,2018,9,Wednesday,37,주중,2018-09-14,2018-09-22,8 days,8
32284,카드,D-20180913-0000395-01,2018-09-14 오후 5:56,2018-09-22 오후 12:24,81350,481.0,1,네이버 페이,2018-09-13,2018,9,Thursday,37,주중,2018-09-14,2018-09-22,8 days,8
32381,카드,D-20180914-0000458-01,2018-09-18 오전 11:06,2018-09-25 오후 9:46,77220,379.0,1,네이버 페이,2018-09-14,2018,9,Friday,37,주중,2018-09-18,2018-09-25,7 days,7
32382,카드,D-20180914-0000462-01,2018-09-18 오전 11:06,2018-09-25 오후 9:46,72270,378.0,1,네이버 페이,2018-09-14,2018,9,Friday,37,주중,2018-09-18,2018-09-25,7 days,7
32383,카드,D-20180914-0000474-01,2018-09-18 오전 11:06,2018-09-25 오후 9:48,73920,43.0,1,네이버 페이,2018-09-14,2018,9,Friday,37,주중,2018-09-18,2018-09-25,7 days,7
32441,카드,D-20180916-0000176-01,2018-09-18 오전 11:06,2018-09-27 오전 4:51,20460,215.0,1,네이버 페이,2018-09-16,2018,9,Sunday,37,주말,2018-09-18,2018-09-27,9 days,9
32489,실시간계좌이체,D-20180917-0000208-01,2018-09-18 오전 11:06,2018-09-26 오전 7:31,220440,1168.0,2,네이버 페이,2018-09-17,2018,9,Monday,38,주중,2018-09-18,2018-09-26,8 days,8
32490,실시간계좌이체,D-20180917-0000208-02,2018-09-18 오전 11:06,2018-09-26 오전 7:31,207240,1169.0,2,네이버 페이,2018-09-17,2018,9,Monday,38,주중,2018-09-18,2018-09-26,8 days,8
32553,실시간계좌이체,D-20180917-0000442-01,2018-09-19 오전 11:26,2018-09-28 오전 2:55,86790,451.0,1,네이버 페이,2018-09-17,2018,9,Monday,38,주중,2018-09-19,2018-09-28,9 days,9
32577,카드,D-20180917-0000555-01,2018-09-18 오전 11:06,2018-09-27 오전 6:33,68970,1091.0,1,네이버 페이,2018-09-17,2018,9,Monday,38,주중,2018-09-18,2018-09-27,9 days,9
32578,카드,D-20180917-0000562-01,2018-09-18 오전 11:06,2018-09-27 오전 6:33,152800,608.0,2,네이버 페이,2018-09-17,2018,9,Monday,38,주중,2018-09-18,2018-09-27,9 days,9
32584,카드,D-20180917-0000598-01,2018-09-27 오후 6:32,2018-10-07 오전 1:57,68970,1091.0,1,네이버 페이,2018-09-17,2018,9,Monday,38,주중,2018-09-27,2018-10-07,10 days,10
32585,카드,D-20180917-0000601-01,2018-09-18 오전 11:06,2018-09-27 오전 6:40,68970,1091.0,1,네이버 페이,2018-09-17,2018,9,Monday,38,주중,2018-09-18,2018-09-27,9 days,9
32588,카드,D-20180917-0000626-01,2018-09-18 오전 11:06,2018-09-28 오전 3:06,68970,1091.0,1,네이버 페이,2018-09-17,2018,9,Monday,38,주중,2018-09-18,2018-09-28,10 days,10
32597,카드,D-20180917-0000679-01,2018-09-19 오전 11:26,2018-09-27 오전 6:44,142900,1077.0,2,네이버 페이,2018-09-17,2018,9,Monday,38,주중,2018-09-19,2018-09-27,8 days,8
32604,카드,D-20180917-0000715-01,2018-09-19 오전 11:26,2018-09-28 오전 3:17,68970,1091.0,1,네이버 페이,2018-09-17,2018,9,Monday,38,주중,2018-09-19,2018-09-28,9 days,9
32611,카드,D-20180917-0000754-01,2018-09-19 오전 11:26,2018-09-28 오전 3:22,68970,1091.0,1,네이버 페이,2018-09-17,2018,9,Monday,38,주중,2018-09-19,2018-09-28,9 days,9
32629,무통장입금,D-20180917-0000814-01,2018-09-19 오전 11:26,2018-09-28 오전 3:28,52580,246.0,1,네이버 페이,2018-09-17,2018,9,Monday,38,주중,2018-09-19,2018-09-28,9 days,9
