,결제수단,배송번호,배송시작일,배송완료일,상품구매금액,상품번호,수량,주문경로,주문일,연도,월,요일,주차,주중/주말,배송시작일(date),배송완료일(date),배송기간,배송기간(int)
47,적립금,D-20190101-0000106-01,2019-01-03 오전 9:30,2019-01-13 오전 7:19,68970,38.0,1,네이버 페이,2019-01-01,2019,1,Tuesday,1,주중,2019-01-03,2019-01-13,10 days,10
132,카드,D-20190102-0000463-01,2019-01-03 오후 6:20,2019-01-28 오후 4:33,388080,1217.0,3,네이버 페이,2019-01-02,2019,1,Wednesday,1,주중,2019-01-03,2019-01-28,25 days,25
134,카드,D-20190102-0000498-01,2019-01-03 오후 6:20,2019-01-28 오후 4:15,129360,1217.0,1,네이버 페이,2019-01-02,2019,1,Wednesday,1,주중,2019-01-03,2019-01-28,25 days,25
193,카드,D-20190102-0000938-01,2019-01-03 오후 6:20,2019-01-13 오전 4:38,82170,380.0,1,네이버 페이,2019-01-02,2019,1,Wednesday,1,주중,2019-01-03,2019-01-13,10 days,10
194,카드,D-20190102-0000938-02,2019-01-03 오후 6:20,2019-01-13 오전 4:38,77220,379.0,1,네이버 페이,2019-01-02,2019,1,Wednesday,1,주중,2019-01-03,2019-01-13,10 days,10
195,카드,D-20190102-0000938-03,2019-01-03 오후 6:20,2019-01-13 오전 4:38,72270,378.0,1,네이버 페이,2019-01-02,2019,1,Wednesday,1,주중,2019-01-03,2019-01-13,10 days,10
223,카드,D-20190103-0000012-01,2019-01-03 오후 6:20,2019-01-12 오전 11:23,56760,172.0,1,네이버 페이,2019-01-03,2019,1,Thursday,1,주중,2019-01-03,2019-01-12,9 days,9
228,카드,D-20190103-0000081-00,2019-01-03 오후 6:19,2019-01-11 오전 5:32,94930,937.0,1,모바일웹,2019-01-03,2019,1,Thursday,1,주중,2019-01-03,2019-01-11,8 days,8
264,카드,D-20190103-0000392-01,2019-01-03 오후 6:20,2019-01-10 오후 1:15,22110,205.0,1,네이버 페이,2019-01-03,2019,1,Thursday,1,주중,2019-01-03,2019-01-10,7 days,7
265,카드,D-20190103-0000392-02,2019-01-03 오후 6:20,2019-01-10 오후 1:15,78210,397.0,1,네이버 페이,2019-01-03,2019,1,Thursday,1,주중,2019-01-03,2019-01-10,7 days,7
283,무통장입금,D-20190103-0000514-01,2019-01-03 오후 6:20,2019-01-12 오후 3:16,70620,42.0,1,네이버 페이,2019-01-03,2019,1,Thursday,1,주중,2019-01-03,2019-01-12,9 days,9
343,카드,D-20190103-0000879-01,2019-01-07 오전 8:58,2019-01-15 오전 1:46,81350,481.0,1,네이버 페이,2019-01-03,2019,1,Thursday,1,주중,2019-01-07,2019-01-15,8 days,8
370,카드,D-20190103-0001061-01,2019-01-07 오전 8:58,2019-01-15 오전 1:31,119020,88.0,1,네이버 페이,2019-01-03,2019,1,Thursday,1,주중,2019-01-07,2019-01-15,8 days,8
458,카드,D-20190104-0000735-01,2019-01-08 오전 8:44,2019-01-16 오전 2:12,132500,92.0,1,네이버 페이,2019-01-04,2019,1,Friday,1,주중,2019-01-08,2019-01-16,8 days,8
462,카드,D-20190104-0000765-01,2019-01-08 오전 8:44,2019-01-16 오전 2:13,131450,596.0,1,네이버 페이,2019-01-04,2019,1,Friday,1,주중,2019-01-08,2019-01-16,8 days,8
463,카드,D-20190104-0000765-02,2019-01-08 오전 8:44,2019-01-16 오전 2:13,99660,1236.0,1,네이버 페이,2019-01-04,2019,1,Friday,1,주중,2019-01-08,2019-01-16,8 days,8
464,카드,D-20190104-0000765-03,2019-01-08 오전 8:44,2019-01-16 오전 2:13,42350,1283.0,1,네이버 페이,2019-01-04,2019,1,Friday,1,주중,2019-01-08,2019-01-16,8 days,8
465,카드,D-20190104-0000765-04,2019-01-08 오전 8:44,2019-01-16 오전 2:13,38320,1297.0,1,네이버 페이,2019-01-04,2019,1,Friday,1,주중,2019-01-08,2019-01-16,8 days,8
466,카드,D-20190104-0000765-05,2019-01-08 오전 8:44,2019-01-16 오전 2:13,64020,1325.0,1,네이버 페이,2019-01-04,2019,1,Friday,1,주중,2019-01-08,2019-01-16,8 days,8
467,카드,D-20190104-0000765-06,2019-01-08 오전 8:44,2019-01-16 오전 2:13,78870,603.0,1,네이버 페이,2019-01-04,2019,1,Friday,1,주중,2019-01-08,2019-01-16,8 days,8
476,카드,D-20190104-0000843-01,2019-01-08 오전 8:44,2019-01-28 오후 6:23,185900,939.0,2,네이버 페이,2019-01-04,2019,1,Friday,1,주중,2019-01-08,2019-01-28,20 days,20
489,카드,D-20190104-0000960-01,2019-01-08 오전 8:44,2019-01-17 오전 2:10,68530,1312.0,1,네이버 페이,2019-01-04,2019,1,Friday,1,주중,2019-01-08,2019-01-17,9 days,9
515,실시간계좌이체,D-20190105-0000266-01,2019-01-08 오전 8:44,2019-01-16 오전 5:34,87120,188.0,1,네이버 페이,2019-01-05,2019,1,Saturday,1,주말,2019-01-08,2019-01-16,8 days,8
537,카드,D-20190106-0000221-01,2019-01-08 오전 8:44,2019-01-16 오전 6:55,78870,603.0,1,네이버 페이,2019-01-06,2019,1,Sunday,1,주말,2019-01-08,2019-01-16,8 days,8
557,카드,D-20190106-0000364-01,2019-01-08 오전 8:44,2019-01-16 오전 7:32,72270,378.0,1,네이버 페이,2019-01-06,2019,1,Sunday,1,주말,2019-01-08,2019-01-16,8 days,8
561,카드,D-20190106-0000399-01,2019-01-08 오전 8:44,2019-01-16 오전 7:41,56760,447.0,1,네이버 페이,2019-01-06,2019,1,Sunday,1,주말,2019-01-08,2019-01-16,8 days,8
656,무통장입금,D-20190107-0000649-01,2019-01-08 오후 6:58,2019-01-16 오후 3:33,74120,254.0,1,네이버 페이,2019-01-07,2019,1,Monday,2,주중,2019-01-08,2019-01-16,8 days,8
692,카드,D-20190107-0000945-01,2019-01-08 오후 6:58,2019-01-18 오전 2:28,11660,1272.0,1,네이버 페이,2019-01-07,2019,1,Monday,2,주중,2019-01-08,2019-01-18,10 days,10
693,카드,D-20190107-0000945-02,2019-01-08 오후 6:58,2019-01-18 오전 2:28,38320,1297.0,1,네이버 페이,2019-01-07,2019,1,Monday,2,주중,2019-01-08,2019-01-18,10 days,10
694,카드,D-20190107-0000945-03,2019-01-08 오후 6:58,2019-01-17 오전 6:26,66500,47.0,1,네이버 페이,2019-01-07,2019,1,Monday,2,주중,2019-01-08,2019-01-17,9 days,9
715,카드,D-20190107-0001143-01,2019-01-08 오후 6:58,2019-01-17 오전 7:19,56760,446.0,1,네이버 페이,2019-01-07,2019,1,Monday,2,주중,2019-01-08,2019-01-17,9 days,9
722,카드,D-20190108-0000042-01,2019-01-08 오후 6:58,2019-01-17 오전 8:02,123420,1302.0,1,네이버 페이,2019-01-08,2019,1,Tuesday,2,주중,2019-01-08,2019-01-17,9 days,9
818,카드,D-20190108-0000661-01,2019-01-10 오전 9:10,2019-01-18 오전 4:01,29320,1202.0,2,네이버 페이,2019-01-08,2019,1,Tuesday,2,주중,2019-01-10,2019-01-18,8 days,8
829,카드,D-20190108-0000729-01,2019-01-09 오전 10:40,2019-01-19 오전 1:51,132500,92.0,1,네이버 페이,2019-01-08,2019,1,Tuesday,2,주중,2019-01-09,2019-01-19,10 days,10
838,카드,D-20190108-0000816-01,2019-01-10 오전 9:10,2019-01-18 오전 4:39,131670,72.0,1,네이버 페이,2019-01-08,2019,1,Tuesday,2,주중,2019-01-10,2019-01-18,8 days,8
854,카드,D-20190108-0000946-01,2019-01-10 오전 9:10,2019-01-18 오전 5:29,71450,1077.0,1,네이버 페이,2019-01-08,2019,1,Tuesday,2,주중,2019-01-10,2019-01-18,8 days,8
968,카드,D-20190109-0000910-01,2019-01-11 오전 10:12,2019-01-19 오전 3:05,16150,1270.0,1,네이버 페이,2019-01-09,2019,1,Wednesday,2,주중,2019-01-11,2019-01-19,8 days,8
983,카드,D-20190109-0001043-01,2019-01-11 오전 10:12,2019-01-19 오전 3:59,96000,1375.0,1,네이버 페이,2019-01-09,2019,1,Wednesday,2,주중,2019-01-11,2019-01-19,8 days,8
984,카드,D-20190109-0001055-01,2019-01-11 오전 10:12,2019-01-19 오전 3:59,75240,1374.0,1,네이버 페이,2019-01-09,2019,1,Wednesday,2,주중,2019-01-11,2019-01-19,8 days,8
996,카드,D-20190110-0000109-01,2019-01-11 오전 10:12,2019-01-19 오전 5:41,86790,451.0,1,네이버 페이,2019-01-10,2019,1,Thursday,2,주중,2019-01-11,2019-01-19,8 days,8
1063,카드,D-20190110-0000592-01,2019-01-11 오전 10:12,2019-01-19 오전 6:35,113520,1301.0,1,네이버 페이,2019-01-10,2019,1,Thursday,2,주중,2019-01-11,2019-01-19,8 days,8
1100,무통장입금,D-20190111-0000022-01,2019-01-11 오후 6:36,2019-01-20 오전 4:22,124250,90.0,1,네이버 페이,2019-01-11,2019,1,Friday,2,주중,2019-01-11,2019-01-20,9 days,9
1168,실시간계좌이체,D-20190111-0000681-01,2019-01-14 오전 8:42,2019-01-22 오전 1:59,58410,455.0,1,네이버 페이,2019-01-11,2019,1,Friday,2,주중,2019-01-14,2019-01-22,8 days,8
1266,카드,D-20190113-0000297-01,2019-01-15 오전 9:08,2019-01-23 오전 7:04,132500,92.0,1,네이버 페이,2019-01-13,2019,1,Sunday,2,주말,2019-01-15,2019-01-23,8 days,8
1316,카드,D-20190114-0000246-00,2019-01-15 오전 9:06,2019-01-22 오전 5:32,120120,1082.0,1,PC쇼핑몰,2019-01-14,2019,1,Monday,3,주중,2019-01-15,2019-01-22,7 days,7
1319,카드,D-20190114-0000246-03,2019-01-15 오전 9:06,2019-01-22 오전 5:32,152020,1353.0,1,PC쇼핑몰,2019-01-14,2019,1,Monday,3,주중,2019-01-15,2019-01-22,7 days,7
1348,카드,D-20190114-0000421-01,2019-01-15 오전 9:08,2019-01-25 오전 1:52,174240,184.0,2,네이버 페이,2019-01-14,2019,1,Monday,3,주중,2019-01-15,2019-01-25,10 days,10
1349,카드,D-20190114-0000421-02,2019-01-15 오전 9:08,2019-01-25 오전 1:52,87120,176.0,1,네이버 페이,2019-01-14,2019,1,Monday,3,주중,2019-01-15,2019-01-25,10 days,10
1562,카드,D-20190115-0000832-01,2019-01-17 오전 9:56,2019-01-25 오전 3:43,75570,1069.0,1,네이버 페이,2019-01-15,2019,1,Tuesday,3,주중,2019-01-17,2019-01-25,8 days,8
1606,카드,D-20190116-0000025-01,2019-01-17 오전 9:56,2019-01-25 오전 6:06,138270,76.0,1,네이버 페이,2019-01-16,2019,1,Wednesday,3,주중,2019-01-17,2019-01-25,8 days,8
1689,카드,D-20190116-0000585-01,2019-01-17 오전 9:56,2019-01-25 오전 7:07,49060,1343.0,1,네이버 페이,2019-01-16,2019,1,Wednesday,3,주중,2019-01-17,2019-01-25,8 days,8
1740,실시간계좌이체,D-20190116-0000922-01,2019-01-17 오후 6:16,2019-01-26 오전 10:45,66500,47.0,1,네이버 페이,2019-01-16,2019,1,Wednesday,3,주중,2019-01-17,2019-01-26,9 days,9
1743,휴대폰,D-20190116-0000955-01,2019-01-17 오후 6:16,2019-01-26 오전 10:53,78870,44.0,1,네이버 페이,2019-01-16,2019,1,Wednesday,3,주중,2019-01-17,2019-01-26,9 days,9
1750,카드,D-20190116-0001006-01,2019-01-17 오후 6:16,2019-01-26 오전 11:27,58410,455.0,1,네이버 페이,2019-01-16,2019,1,Wednesday,3,주중,2019-01-17,2019-01-26,9 days,9
1751,카드,D-20190117-0000011-01,2019-01-17 오후 6:16,2019-01-26 오전 11:40,78870,603.0,1,네이버 페이,2019-01-17,2019,1,Thursday,3,주중,2019-01-17,2019-01-26,9 days,9
1760,카드,D-20190117-0000127-01,2019-01-17 오후 6:16,2019-01-26 오후 12:19,151140,1069.0,2,네이버 페이,2019-01-17,2019,1,Thursday,3,주중,2019-01-17,2019-01-26,9 days,9
1775,실시간계좌이체,D-20190117-0000296-01,2019-01-17 오후 6:16,2019-01-26 오후 12:42,87120,190.0,1,네이버 페이,2019-01-17,2019,1,Thursday,3,주중,2019-01-17,2019-01-26,9 days,9
1776,실시간계좌이체,D-20190117-0000296-02,2019-01-17 오후 6:56,2019-01-26 오후 12:42,86790,451.0,1,네이버 페이,2019-01-17,2019,1,Thursday,3,주중,2019-01-17,2019-01-26,9 days,9
1827,카드,D-20190117-0000595-01,2019-01-17 오후 6:16,2019-01-26 오후 1:18,77220,379.0,1,네이버 페이,2019-01-17,2019,1,Thursday,3,주중,2019-01-17,2019-01-26,9 days,9
1877,실시간계좌이체,D-20190118-0000136-01,2019-01-19 오후 4:26,2019-01-27 오전 4:39,81600,1085.0,1,네이버 페이,2019-01-18,2019,1,Friday,3,주중,2019-01-19,2019-01-27,8 days,8
1939,카드,D-20190118-0000631-01,2019-01-22 오전 9:06,2019-02-19 오전 12:55,83550,1316.0,1,네이버 페이,2019-01-18,2019,1,Friday,3,주중,2019-01-22,2019-02-19,28 days,28
1940,카드,D-20190118-0000631-02,2019-01-22 오전 9:06,2019-02-19 오전 12:55,68530,1314.0,1,네이버 페이,2019-01-18,2019,1,Friday,3,주중,2019-01-22,2019-02-19,28 days,28
1991,카드,D-20190120-0000083-01,2019-01-22 오전 9:06,2019-02-19 오전 12:57,52580,246.0,1,네이버 페이,2019-01-20,2019,1,Sunday,3,주말,2019-01-22,2019-02-19,28 days,28
1993,카드,D-20190120-0000103-01,2019-01-22 오전 9:06,2019-01-30 오전 7:13,78870,44.0,1,네이버 페이,2019-01-20,2019,1,Sunday,3,주말,2019-01-22,2019-01-30,8 days,8
1994,카드,D-20190120-0000119-01,2019-01-22 오전 9:06,2019-01-30 오전 7:13,108570,1121.0,1,네이버 페이,2019-01-20,2019,1,Sunday,3,주말,2019-01-22,2019-01-30,8 days,8
2051,무통장입금,D-20190121-0000398-01,2019-01-22 오전 9:06,2019-01-31 오전 4:34,174240,184.0,2,네이버 페이,2019-01-21,2019,1,Monday,4,주중,2019-01-22,2019-01-31,9 days,9
2119,카드,D-20190121-0000801-01,2019-01-22 오후 6:30,2019-01-31 오전 5:19,124250,90.0,1,네이버 페이,2019-01-21,2019,1,Monday,4,주중,2019-01-22,2019-01-31,9 days,9
2143,카드,D-20190121-0000939-01,2019-01-22 오후 6:20,2019-01-31 오전 5:55,459360,1122.0,3,네이버 페이,2019-01-21,2019,1,Monday,4,주중,2019-01-22,2019-01-31,9 days,9
2164,카드,D-20190122-0000074-01,2019-01-22 오후 6:20,2019-02-19 오전 1:01,58410,455.0,1,네이버 페이,2019-01-22,2019,1,Tuesday,4,주중,2019-01-22,2019-02-19,28 days,28
2194,실시간계좌이체,D-20190122-0000284-01,2019-01-22 오후 6:20,2019-01-31 오전 8:14,78870,1070.0,1,네이버 페이,2019-01-22,2019,1,Tuesday,4,주중,2019-01-22,2019-01-31,9 days,9
2195,실시간계좌이체,D-20190122-0000290-01,2019-01-22 오후 6:20,2019-02-19 오전 1:01,83550,1316.0,1,네이버 페이,2019-01-22,2019,1,Tuesday,4,주중,2019-01-22,2019-02-19,28 days,28
2230,카드,D-20190122-0000555-01,2019-01-23 오후 6:52,2019-02-01 오전 2:15,137060,1314.0,2,네이버 페이,2019-01-22,2019,1,Tuesday,4,주중,2019-01-23,2019-02-01,9 days,9
2231,카드,D-20190122-0000564-01,2019-01-23 오후 6:52,2019-02-01 오전 2:15,167100,1316.0,2,네이버 페이,2019-01-22,2019,1,Tuesday,4,주중,2019-01-23,2019-02-01,9 days,9
2265,카드,D-20190122-0000813-01,2019-01-23 오후 6:52,2019-02-01 오전 3:21,70620,42.0,1,네이버 페이,2019-01-22,2019,1,Tuesday,4,주중,2019-01-23,2019-02-01,9 days,9
2271,카드,D-20190122-0000853-01,2019-01-23 오후 6:52,2019-02-01 오전 3:47,70620,42.0,1,네이버 페이,2019-01-22,2019,1,Tuesday,4,주중,2019-01-23,2019-02-01,9 days,9
2330,카드,D-20190123-0000406-01,2019-01-23 오후 6:52,2019-02-01 오전 11:28,157740,603.0,2,네이버 페이,2019-01-23,2019,1,Wednesday,4,주중,2019-01-23,2019-02-01,9 days,9
2416,실시간계좌이체,D-20190123-0001039-01,2019-01-24 오후 6:34,2019-02-02 오전 3:01,95110,1318.0,-1,네이버 페이,2019-01-23,2019,1,Wednesday,4,주중,2019-01-24,2019-02-02,9 days,9
2418,카드,D-20190123-0001050-01,2019-01-24 오후 6:34,2019-02-01 오전 12:49,234630,397.0,3,네이버 페이,2019-01-23,2019,1,Wednesday,4,주중,2019-01-24,2019-02-01,8 days,8
2438,카드,D-20190123-0001206-01,2019-01-24 오후 6:34,2019-01-31 오전 11:59,141240,42.0,2,네이버 페이,2019-01-23,2019,1,Wednesday,4,주중,2019-01-24,2019-01-31,7 days,7
2439,카드,D-20190123-0001216-01,2019-01-24 오후 6:34,2019-02-01 오전 11:30,68970,1091.0,1,네이버 페이,2019-01-23,2019,1,Wednesday,4,주중,2019-01-24,2019-02-01,8 days,8
2495,무통장입금,D-20190124-0000241-01,2019-01-24 오후 6:34,2019-02-02 오전 4:03,138270,41.0,1,네이버 페이,2019-01-24,2019,1,Thursday,4,주중,2019-01-24,2019-02-02,9 days,9
2521,카드,D-20190124-0000418-01,2019-01-24 오후 6:34,2019-02-02 오전 6:30,78870,999999.0,1,네이버 페이,2019-01-24,2019,1,Thursday,4,주중,2019-01-24,2019-02-02,9 days,9
2742,카드,D-20190126-0000382-01,2019-01-29 오전 8:46,2019-02-06 오전 4:17,75240,1374.0,1,네이버 페이,2019-01-26,2019,1,Saturday,4,주말,2019-01-29,2019-02-06,8 days,8
2743,카드,D-20190126-0000382-02,2019-01-29 오전 8:46,2019-02-06 오전 4:17,96000,1375.0,1,네이버 페이,2019-01-26,2019,1,Saturday,4,주말,2019-01-29,2019-02-06,8 days,8
2746,실시간계좌이체,D-20190126-0000408-01,2019-01-29 오전 8:46,2019-02-07 오전 2:48,78870,602.0,1,네이버 페이,2019-01-26,2019,1,Saturday,4,주말,2019-01-29,2019-02-07,9 days,9
2760,카드,D-20190127-0000097-01,2019-01-29 오전 8:46,2019-02-06 오전 5:31,140750,94.0,1,네이버 페이,2019-01-27,2019,1,Sunday,4,주말,2019-01-29,2019-02-06,8 days,8
2870,실시간계좌이체,D-20190128-0000478-01,2019-01-29 오전 8:46,2019-02-06 오전 7:56,68970,1091.0,1,네이버 페이,2019-01-28,2019,1,Monday,5,주중,2019-01-29,2019-02-06,8 days,8
2871,실시간계좌이체,D-20190128-0000486-01,2019-01-29 오전 8:46,2019-02-06 오전 7:57,42350,1283.0,1,네이버 페이,2019-01-28,2019,1,Monday,5,주중,2019-01-29,2019-02-06,8 days,8
2954,실시간계좌이체,D-20190128-0000835-01,2019-01-29 오전 8:46,2019-02-07 오전 5:37,81600,1085.0,1,네이버 페이,2019-01-28,2019,1,Monday,5,주중,2019-01-29,2019-02-07,9 days,9
2969,휴대폰,D-20190128-0000928-01,2019-01-29 오전 8:46,2019-02-08 오전 2:32,73920,1089.0,1,네이버 페이,2019-01-28,2019,1,Monday,5,주중,2019-01-29,2019-02-08,10 days,10
2970,휴대폰,D-20190128-0000928-02,2019-01-29 오전 8:46,2019-02-08 오전 2:32,133320,40.0,1,네이버 페이,2019-01-28,2019,1,Monday,5,주중,2019-01-29,2019-02-08,10 days,10
2982,카드,D-20190128-0001014-01,2019-01-29 오전 8:46,2019-02-07 오전 5:47,56760,447.0,1,네이버 페이,2019-01-28,2019,1,Monday,5,주중,2019-01-29,2019-02-07,9 days,9
3041,무통장입금,D-20190128-0001380-01,2019-01-29 오후 6:50,2019-02-08 오전 2:36,261360,176.0,3,네이버 페이,2019-01-28,2019,1,Monday,5,주중,2019-01-29,2019-02-08,10 days,10
3042,무통장입금,D-20190128-0001380-02,2019-01-29 오후 6:50,2019-02-08 오전 2:36,261360,184.0,3,네이버 페이,2019-01-28,2019,1,Monday,5,주중,2019-01-29,2019-02-08,10 days,10
3101,카드,D-20190128-0001808-01,2019-01-29 오후 6:50,2019-02-07 오후 11:48,66500,47.0,1,네이버 페이,2019-01-28,2019,1,Monday,5,주중,2019-01-29,2019-02-07,9 days,9
3117,휴대폰,D-20190128-0001922-01,2019-01-29 오후 6:50,2019-02-07 오전 6:55,114950,84.0,1,네이버 페이,2019-01-28,2019,1,Monday,5,주중,2019-01-29,2019-02-07,9 days,9
3119,카드,D-20190128-0001944-01,2019-01-29 오후 6:50,2019-02-08 오전 2:55,140750,94.0,1,네이버 페이,2019-01-28,2019,1,Monday,5,주중,2019-01-29,2019-02-08,10 days,10
3141,카드,D-20190129-0000053-01,2019-01-29 오후 6:50,2019-02-07 오전 8:34,86790,451.0,1,네이버 페이,2019-01-29,2019,1,Tuesday,5,주중,2019-01-29,2019-02-07,9 days,9
3158,실시간계좌이체,D-20190129-0000178-01,2019-01-30 오전 8:32,2019-02-08 오전 3:44,151470,78.0,1,네이버 페이,2019-01-29,2019,1,Tuesday,5,주중,2019-01-30,2019-02-08,9 days,9
3177,무통장입금,D-20190129-0000268-01,2019-01-29 오후 6:50,2019-02-07 오전 5:33,132500,92.0,1,네이버 페이,2019-01-29,2019,1,Tuesday,5,주중,2019-01-29,2019-02-07,9 days,9
3198,실시간계좌이체,D-20190129-0000411-01,2019-01-29 오후 6:50,2019-02-07 오전 10:49,75240,1374.0,1,네이버 페이,2019-01-29,2019,1,Tuesday,5,주중,2019-01-29,2019-02-07,9 days,9
3199,실시간계좌이체,D-20190129-0000411-02,2019-01-29 오후 6:50,2019-02-07 오전 10:49,55110,1139.0,1,네이버 페이,2019-01-29,2019,1,Tuesday,5,주중,2019-01-29,2019-02-07,9 days,9
3233,카드,D-20190129-0000669-01,2019-01-29 오후 6:50,2019-02-07 오후 2:25,116820,455.0,2,네이버 페이,2019-01-29,2019,1,Tuesday,5,주중,2019-01-29,2019-02-07,9 days,9
3244,카드,D-20190129-0000748-01,2019-01-30 오전 8:32,2019-02-08 오전 4:23,75570,1069.0,1,네이버 페이,2019-01-29,2019,1,Tuesday,5,주중,2019-01-30,2019-02-08,9 days,9
3255,무통장입금,D-20190129-0000831-01,2019-01-30 오후 6:40,2019-02-07 오전 1:35,116000,605.0,1,네이버 페이,2019-01-29,2019,1,Tuesday,5,주중,2019-01-30,2019-02-07,8 days,8
3307,실시간계좌이체,D-20190129-0001173-01,2019-01-30 오후 6:40,2019-02-08 오전 5:21,41910,1350.0,1,네이버 페이,2019-01-29,2019,1,Tuesday,5,주중,2019-01-30,2019-02-08,9 days,9
3353,카드,D-20190130-0000322-01,2019-01-30 오후 6:40,2019-02-08 오전 8:01,23320,1268.0,2,네이버 페이,2019-01-30,2019,1,Wednesday,5,주중,2019-01-30,2019-02-08,9 days,9
3354,카드,D-20190130-0000322-02,2019-01-30 오후 6:40,2019-02-08 오전 8:01,152800,608.0,2,네이버 페이,2019-01-30,2019,1,Wednesday,5,주중,2019-01-30,2019-02-08,9 days,9
3386,카드,D-20190130-0000594-01,2019-01-30 오후 6:40,2019-02-08 오전 8:31,70620,42.0,1,네이버 페이,2019-01-30,2019,1,Wednesday,5,주중,2019-01-30,2019-02-08,9 days,9
3420,휴대폰,D-20190130-0000762-01,2019-01-30 오후 6:40,2019-02-08 오전 8:39,75240,1374.0,1,네이버 페이,2019-01-30,2019,1,Wednesday,5,주중,2019-01-30,2019-02-08,9 days,9
3422,휴대폰,D-20190130-0000788-01,2019-01-30 오후 6:40,2019-02-08 오전 8:39,63470,1373.0,1,네이버 페이,2019-01-30,2019,1,Wednesday,5,주중,2019-01-30,2019-02-08,9 days,9
3438,무통장입금,D-20190130-0000931-01,2019-02-08 오전 9:45,2019-02-20 오후 5:37,83550,1316.0,1,네이버 페이,2019-01-30,2019,1,Wednesday,5,주중,2019-02-08,2019-02-20,12 days,12
3439,무통장입금,D-20190130-0000931-02,2019-02-08 오전 9:45,2019-02-20 오후 5:37,137060,1314.0,2,네이버 페이,2019-01-30,2019,1,Wednesday,5,주중,2019-02-08,2019-02-20,12 days,12
3557,카드,D-20190205-0000072-01,2019-02-08 오전 10:53,2019-02-16 오전 7:10,78870,1070.0,1,네이버 페이,2019-02-05,2019,2,Tuesday,6,주중,2019-02-08,2019-02-16,8 days,8
3558,카드,D-20190205-0000072-02,2019-02-08 오전 9:54,2019-02-16 오전 7:10,78870,603.0,1,네이버 페이,2019-02-05,2019,2,Tuesday,6,주중,2019-02-08,2019-02-16,8 days,8
3571,카드,D-20190206-0000119-01,2019-02-08 오전 9:54,2019-02-16 오전 7:55,42350,1283.0,1,네이버 페이,2019-02-06,2019,2,Wednesday,6,주중,2019-02-08,2019-02-16,8 days,8
3679,실시간계좌이체,D-20190207-0000519-01,2019-02-08 오전 9:54,2019-02-17 오전 7:44,76400,608.0,1,네이버 페이,2019-02-07,2019,2,Thursday,6,주중,2019-02-08,2019-02-17,9 days,9
3830,실시간계좌이체,D-20190207-0001474-01,2019-02-08 오후 7:16,2019-02-17 오전 9:32,32010,639.0,1,네이버 페이,2019-02-07,2019,2,Thursday,6,주중,2019-02-08,2019-02-17,9 days,9
3831,실시간계좌이체,D-20190207-0001474-02,2019-02-08 오후 7:16,2019-02-17 오전 9:32,32010,559.0,1,네이버 페이,2019-02-07,2019,2,Thursday,6,주중,2019-02-08,2019-02-17,9 days,9
3833,카드,D-20190208-0000017-01,2019-02-08 오후 7:16,2019-02-17 오전 9:48,48500,172.0,1,네이버 페이,2019-02-08,2019,2,Friday,6,주중,2019-02-08,2019-02-17,9 days,9
3886,카드,D-20190208-0000353-01,2019-02-08 오후 7:16,2019-02-17 오전 10:38,53790,250.0,1,네이버 페이,2019-02-08,2019,2,Friday,6,주중,2019-02-08,2019-02-17,9 days,9
3941,무통장입금,D-20190208-0000783-01,2019-02-11 오후 6:58,2019-02-23 오전 5:32,78870,602.0,1,PC쇼핑몰,2019-02-08,2019,2,Friday,6,주중,2019-02-11,2019-02-23,12 days,12
3951,무통장입금,D-20190208-0000871-01,2019-02-11 오후 7:00,2019-02-18 오후 4:51,174240,1233.0,2,네이버 페이,2019-02-08,2019,2,Friday,6,주중,2019-02-11,2019-02-18,7 days,7
3992,카드,D-20190209-0000112-01,2019-02-11 오후 7:00,2019-02-20 오전 4:43,17300,1039.0,1,네이버 페이,2019-02-09,2019,2,Saturday,6,주말,2019-02-11,2019-02-20,9 days,9
4017,카드,D-20190209-0000322-01,2019-02-11 오후 7:00,2019-02-20 오전 5:31,25200,207.0,1,네이버 페이,2019-02-09,2019,2,Saturday,6,주말,2019-02-11,2019-02-20,9 days,9
4018,카드,D-20190209-0000322-02,2019-02-11 오후 7:00,2019-02-20 오전 5:31,74910,396.0,1,네이버 페이,2019-02-09,2019,2,Saturday,6,주말,2019-02-11,2019-02-20,9 days,9
4034,실시간계좌이체,D-20190210-0000078-01,2019-02-11 오후 7:00,2019-02-20 오전 6:48,74600,451.0,1,네이버 페이,2019-02-10,2019,2,Sunday,6,주말,2019-02-11,2019-02-20,9 days,9
4061,카드,D-20190210-0000355-01,2019-02-11 오후 7:00,2019-02-19 오후 8:02,77220,379.0,1,네이버 페이,2019-02-10,2019,2,Sunday,6,주말,2019-02-11,2019-02-19,8 days,8
4076,카드,D-20190210-0000437-01,2019-02-11 오후 7:00,2019-02-20 오전 7:57,133320,40.0,1,네이버 페이,2019-02-10,2019,2,Sunday,6,주말,2019-02-11,2019-02-20,9 days,9
4077,카드,D-20190210-0000444-01,2019-02-11 오후 7:00,2019-02-21 오전 5:19,119020,88.0,1,네이버 페이,2019-02-10,2019,2,Sunday,6,주말,2019-02-11,2019-02-21,10 days,10
4090,무통장입금,D-20190211-0000051-01,2019-02-11 오후 7:00,2019-02-21 오전 5:02,48500,172.0,1,네이버 페이,2019-02-11,2019,2,Monday,7,주중,2019-02-11,2019-02-21,10 days,10
