Index,Member_ID,Sales_Type,Contract_Type,Channel,Datetime,Term,Payment_Type,Product_Type,Amount_Month,Customer_Type,Age,Address1,Address2,State,Overdue_count,Overdue_Type,Gender,Credit_Rank,Bank
1420,66759125,렌탈,프로모션계약,대형마트E,2019-04-29,60,CMS,DES-1,111900, 개인,38,경기도,경기도,계약확정,0,없음,여자,1,신한은행
1421,66759260,렌탈,프로모션계약,대형마트E,2019-04-29,60,CMS,DES-1,96900, 개인,58,경기도,경기도,계약확정,0,없음,여자,1,농협회원조합
1422,66758662,렌탈,프로모션계약,전문매장Z,2019-10-15,60,카드이체,DES-1,96900, 개인,29,경기도,경기도,계약확정,0,없음,남자,6,신한카드
1423,66759607,렌탈,일반계약,전단홍보,2019-12-19,60,CMS,DES-1,96900, 개인,58,경기도,경기도,계약확정,0,없음,여자,2,농협회원조합
1424,66759629,렌탈,일반계약,홈쇼핑/방송,2020-06-29,60,CMS,DES-1,96900, 개인,34,경기도,경기도,계약확정,0,없음,여자,1,새마을금고
1425,66759216,렌탈,패키지계약,홈쇼핑/방송,2020-06-29,60,카드이체,DES-1,81900, 개인,29,경기도,경기도,계약확정,0,없음,남자,5,현대카드
1426,66759216,렌탈,패키지계약,홈쇼핑/방송,2020-07-31,60,카드이체,DES-2,81900, 개인,29,경기도,경기도,계약확정,0,없음,남자,5,현대카드
1427,66759632,렌탈,패키지계약,홈쇼핑/방송,2020-07-31,60,카드이체,DES-1,81900, 개인,56,경기도,경기도,계약확정,0,없음,여자,1,현대카드
1428,66759632,렌탈,패키지계약,홈쇼핑/방송,2020-07-31,60,카드이체,DES-2,81900, 개인,56,경기도,경기도,계약확정,0,없음,여자,1,현대카드
1429,66758989,렌탈,일반계약,홈쇼핑/방송,2020-07-31,60,카드이체,DES-1,96900, 개인,62,경기도,경기도,계약확정,0,없음,여자,1,국민카드
1430,66759568,렌탈,프로모션계약,전문매장Z,2019-02-09,60,CMS,DES-1,96900, 개인,71,경상도,경상도,계약확정,0,없음,남자,2,농협회원조합
1431,66167240,렌탈,교체계약,영업방판,2019-03-15,60,카드이체,DES-1,96900, 개인,65,경상도,경상도,계약확정,0,없음,남자,1,롯데카드
1432,66759455,렌탈,프로모션계약,홈쇼핑/방송,2019-05-29,60,카드이체,DES-1,105900, 개인,42,경상도,경상도,계약확정,0,없음,여자,6,롯데카드
1433,66706988,렌탈,프로모션계약,영업방판,2019-04-11,60,CMS,DES-2,90900, 개인,38,경상도,경상도,계약확정,0,없음,남자,7,국민은행
1434,66757143,렌탈,패키지계약,홈쇼핑/방송,2019-09-06,60,CMS,DES-1,81900, 개인,54,경상도,경상도,계약확정,0,없음,여자,1,신한은행
1435,66757143,렌탈,패키지계약,홈쇼핑/방송,2020-02-06,60,CMS,DES-2,81900, 개인,54,경상도,경상도,계약확정,0,없음,여자,1,신한은행
1436,66759175,렌탈,프로모션계약,영업방판,2020-02-24,60,CMS,DES-1,111900, 개인,45,경상도,경상도,계약확정,0,없음,남자,1,수협중앙회
1437,66759021,렌탈,일반계약,영업방판,2020-04-16,60,CMS,DES-1,96900, 개인,69,경상도,경상도,계약확정,0,없음,남자,9,새마을금고
1438,66758694,렌탈,일반계약,홈쇼핑/방송,2019-03-20,60,CMS,DES-1,96900, 개인,60,경기도,경기도,계약확정,0,없음,남자,3,농협중앙회
1439,66300727,렌탈,프로모션계약,영업방판,2019-11-08,60,카드이체,DES-2,90900, 개인,46,경기도,경기도,계약확정,0,없음,남자,4,신한카드
1440,66759211,렌탈,일반계약,영업방판,2020-01-05,36,CMS,DES-2,102900, 개인,49,경상도,경상도,계약확정,0,없음,여자,2,농협회원조합
1441,66281484,렌탈,프로모션계약,영업방판,2020-06-27,60,카드이체,DES-2,90900, 개인,49,경상도,경상도,계약확정,0,없음,여자,4,롯데카드
1442,66756039,렌탈,프로모션계약,전문매장Z,2019-01-03,60,카드이체,DES-1,111900, 개인,44,경상도,경상도,계약확정,0,없음,여자,1,현대카드
1443,66759378,렌탈,프로모션계약,영업방판,2019-01-03,60,CMS,DES-1,105900, 개인,43,경상도,부산광역시,계약확정,0,없음,남자,1,부산은행
1444,66759227,렌탈,일반계약,홈쇼핑/방송,2019-01-03,60,카드이체,DES-1,105900, 개인,54,경상도,부산광역시,계약확정,0,없음,여자,,롯데카드
1445,66758353,렌탈,패키지계약,영업방판,2019-01-31,60,CMS,DES-1,98400, 개인,41,경상도,부산광역시,계약확정,0,없음,여자,1,국민은행
1446,66758353,렌탈,패키지계약,영업방판,2019-03-14,60,CMS,DES-2,89400, 개인,41,경상도,부산광역시,계약확정,0,없음,여자,1,국민은행
1447,66758181,렌탈,패키지계약,홈쇼핑/방송,2019-04-06,60,카드이체,DES-1,81900, 개인,50,경상도,부산광역시,계약확정,0,없음,남자,2,롯데카드
1448,66758181,렌탈,패키지계약,홈쇼핑/방송,2019-02-28,60,카드이체,DES-2,81900, 개인,50,경상도,부산광역시,계약확정,0,없음,남자,2,롯데카드
