결제수단,배송번호,배송시작일,배송완료일,상품구매금액,상품번호,수량,주문경로,주문일
무통장입금,D-20180514-0000322-00,2018-05-15 오후 2:56,2018-05-19 오전 5:32,85400,449,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000322-00,2018-05-15 오후 2:56,2018-05-19 오전 5:32,0,1136,1,PC쇼핑몰,20180514
카드,D-20180514-0000333-00,2018-05-15 오후 2:56,2018-05-19 오전 5:32,96460,88,1,PC쇼핑몰,20180514
카드,D-20180514-0000333-00,2018-05-15 오후 2:56,2018-05-19 오전 5:32,0,584,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000349-00,2018-05-15 오후 2:56,2018-05-19 오전 5:32,78800,603,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000349-01,2018-05-15 오후 2:56,2018-05-19 오전 5:32,81500,184,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000349-00,2018-05-15 오후 2:56,2018-05-19 오전 5:32,0,1136,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000352-00,2018-05-15 오후 2:56,2018-05-19 오전 5:32,33920,219,1,모바일웹,20180514
무통장입금,D-20180514-0000352-01,2018-05-15 오후 2:56,2018-05-19 오전 5:32,54600,391,1,모바일웹,20180514
무통장입금,D-20180514-0000363-00,2018-05-15 오후 2:56,2018-05-19 오전 5:32,68900,1085,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000363-00,2018-05-15 오후 2:56,2018-05-19 오전 5:32,0,353,1,PC쇼핑몰,20180514
"적립금,무통장입금",D-20180514-0000383-00,2018-05-15 오후 2:56,2018-05-19 오전 5:32,82600,1105,1,PC쇼핑몰,20180514
"적립금,무통장입금",D-20180514-0000383-01,2018-05-15 오후 2:56,2018-05-19 오전 5:32,83360,1035,1,PC쇼핑몰,20180514
"적립금,무통장입금",D-20180514-0000383-00,2018-05-15 오후 2:56,2018-05-19 오전 5:32,0,587,1,PC쇼핑몰,20180514
"쿠폰,무통장입금",D-20180514-0000392-00,2018-05-15 오후 2:56,2018-05-19 오전 5:32,44000,1133,1,모바일웹,20180514
"쿠폰,무통장입금",D-20180514-0000392-01,2018-05-15 오후 2:56,2018-05-19 오전 5:32,435500,1132,1,모바일웹,20180514
"쿠폰,무통장입금",D-20180514-0000392-02,2018-05-15 오후 2:56,2018-05-19 오전 5:32,75390,966,1,모바일웹,20180514
"쿠폰,무통장입금",D-20180514-0000392-00,2018-05-15 오후 2:56,2018-05-19 오전 5:32,0,589,1,모바일웹,20180514
무통장입금,D-20180514-0000405-00,2018-05-15 오후 2:56,2018-05-19 오전 5:32,61970,455,1,모바일웹,20180514
카드,D-20180514-0000430-00,2018-05-15 오후 2:56,2018-05-19 오전 5:32,60540,172,1,PC쇼핑몰,20180514
카드,D-20180514-0000448-00,2018-05-15 오후 2:56,2018-05-19 오전 5:32,146500,1122,1,모바일웹,20180514
무통장입금,D-20180514-0000452-00,2018-05-15 오후 2:56,2018-05-19 오전 5:32,88700,381,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000452-01,2018-05-15 오후 2:56,2018-05-19 오전 5:32,77370,608,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000452-02,2018-05-15 오후 2:56,2018-05-19 오전 5:32,84300,380,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000452-00,2018-05-15 오후 2:56,2018-05-19 오전 5:32,0,1159,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000474-00,2018-05-15 오후 2:56,2018-05-19 오전 5:32,71490,44,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000474-01,2018-05-15 오후 2:56,2018-05-19 오전 5:32,77370,608,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000474-00,2018-05-15 오후 2:56,2018-05-19 오전 5:32,0,1159,1,PC쇼핑몰,20180514
휴대폰,D-20180514-0000497-00,2018-05-15 오후 2:56,2018-05-19 오전 5:32,55480,248,1,모바일웹,20180514
무통장입금,D-20180514-0000501-00,2018-05-15 오후 2:56,2018-05-19 오전 5:32,92380,1036,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000501-01,2018-05-15 오후 2:56,2018-05-19 오전 5:32,109870,1037,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000501-00,2018-05-15 오후 2:56,2018-05-19 오전 5:32,0,589,1,PC쇼핑몰,20180514
휴대폰,D-20180514-0000497-00,2018-05-15 오후 2:56,2018-05-19 오전 5:32,0,352,1,모바일웹,20180514
무통장입금,D-20180514-0000516-01,2018-05-15 오후 2:58,2018-05-20 오후 12:01,122200,94,1,네이버 페이,20180514
카드,D-20180514-0000528-01,2018-05-15 오후 2:58,2018-05-23 오전 7:42,107700,207,3,네이버 페이,20180514
